Playlist Link,Track URL,Source,Collection
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/5hn7T4KKnBOob4jYJnAAG4?si=28775ff0008143c0,Stoked and Broke Records,"8,596"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/0ouDWT4lZAWVOSl87LiMd8?si=0ba80be56abb4000,Donald Leka,"163,967"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/3say21VMVp5dPo1Dlm842I?si=445786ee91854f19,2575683 Records DK2,"50,327"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/0BUxDBEbdb4kzcm74u05xz?si=077fd4d13ae84a95,1265377 Records DK,"75,424"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/4yU3MzgkML2jknpjHBRPyN?si=870aada1669946a4,Tsar Bomba,"2,011"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/6BkCn6RdoF6CJ8Pvpv2TzB?si=af39d4b4946c43a2,C'est La Vie Records,"22,560"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/3OiYCtPFwuJAZVS76YhKpV?si=5ec6d5870ed249a8,Tribe One Three,"34,425"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/4GV4SZ2u2nqztNYRfnxnC2?si=25f13216d5b84b9e,ADMNT,"2,801"
https://open.spotify.com/playlist/3BUhZQBqLVVxytkeZ573kU,https://open.spotify.com/track/3lm9dmsjeVnTmuv16lMY1r?si=eace0f18acb44193,Elizabritz,"14,715"
,,,
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/4kYvnNbO4iRtGYMxVKD6Vs?si=b00b665c538c405a,Kevin Pat,"206,736"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/0I66KrYJgxUMitjxIPjVuw?si=b84ed0f79a27433a,Beats by Glasi,"1,639"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/5Sit6Zcj1bRFDgT7O1Dldm?si=de59e4eebdcd4ee3,ZEROCOOL,
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/3nxF3HrsiNp8Tb74KPNh7O?si=532d91f11fd844df,XWaveZ,"2,786"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/1nWKIamNi1KtjO0gfKHaKV?si=33ea492123404fdd,ZYX Trance,
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/3xRgBJk0d6nxjJWf3llN3U?si=508f499cecf04d08,Young LSN,"64,578"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/2aNtE7zEwZTs9JYHOAdy65?si=907648fae38d4be7,Raun Music,"3,522"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/0xYThiwZZAFnH5fOswcmYV?si=33de9591b4f044c9,New Nairobi Records,
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/5FdSFCUWlFBY91kEAcR2YQ?si=e24551bab7a04edd,New Nairobi Records,"37,652"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/1dqX2RWgyhA6ThBytFHTMr?si=abbc4049faaa40ca,Ryan Bronson LLC,"1,369"
https://open.spotify.com/playlist/3y4FGESAZMzH9EWgbRHXue,https://open.spotify.com/track/1D5pqcKBDJ8azdSgxnf8t3?si=0bc2b1daf2074d98,Raun Music,"45,079"
